Year,Movie,Income
2009,Avatar,2923706026
2019,Avengers: Endgame,2748242781
2022,Avatar: The Way of Water,2317514386
1997,Titanic,2223048786
2015,Star Wars Ep. VII: The Force Awakens,2058880845
2018,Avengers: Infinity War,2048359754
2021,Spider-Man: No Way Home,1908532719
2024,Inside Out 2,1675131031
2015,Jurassic World,1669963641
2019,The Lion King,1662020819
2012,The Avengers,1515100211
2015,Furious 7,1511986364
2022,Top Gun: Maverick,1464400233
2019,Frozen II,1451653316
2023,Barbie,1445638421
2015,Avengers: Age of Ultron,1395316979
2023,The Super Mario Bros. Movie,1361553421
2018,Black Panther,1334157082
2017,Star Wars Ep. VIII: The Last Jedi,1325604756
2011,Harry Potter and the Deathly Hallows: Part 1,1312201690
2018,Jurassic World: Fallen Kingdom,1308323302
2024,Deadpool & Wolverine,1287237740
2013,Frozen,1273378817
2017,Beauty and the Beast,1268697483
2018,Incredibles 2,1242805359
2017,The Fate of the Furious,1235534014
2013,Iron Man 3,1215392272
2015,Minions,1157271759
2016,Captain America: Civil War,1151899586
2019,Spider-Man: Far From Home,1132937929
2018,Aquaman,1131849702
2019,Captain Marvel,1129576094
2003,The Lord of the Rings: The Return of the King,1123837908
2011,Transformers: Dark of the Moon,1123794079
2012,Skyfall,1110526981
2014,Transformers: Age of Extinction,1104054072
2012,The Dark Knight Rises,1082228107
2019,Toy Story 4,1072817964
2019,Star Wars: The Rise of Skywalker,1070655325
2010,Toy Story 3,1068879522
2006,Pirates of the Caribbean: Dead Man’s Chest,1066179725
2019,Joker,1064085246
1993,Jurassic Park,1058454230
2016,Rogue One: A Star Wars Story,1055083596
2019,Aladdin,1046587513
1999,Star Wars Ep. I: The Phantom Menace,1046515409
2011,Pirates of the Caribbean: On Stranger Tides,1045713802
2017,Despicable Me 3,1032809657
2010,Alice in Wonderland,1025491110
2016,Finding Dory,1025006125
2012,The Hobbit: An Unexpected Journey,1014938545
2008,The Dark Knight,1007695772
2022,Jurassic World: Dominion,1004004592
2016,Zootopia,1002462578
1994,The Lion King,988389726
2023,Oppenheimer,976968205
2013,Despicable Me 2,975216835
2001,Harry Potter and the Sorcerer’s Stone,963637834
2017,Jumanji: Welcome to the Jungle,961632807
2007,Pirates of the Caribbean: At World’s End,960996492
2013,The Hobbit: The Desolation of Smaug,959358436
2022,Doctor Strange in the Multiverse of Madness,952224986
2016,The Jungle Book,951806722
2010,Harry Potter and the Deathly Hallows: Part 1,944062255
2014,The Hobbit: The Battle of the Five Armies,940323039
2022,Minions: The Rise of Gru,937427564
2007,Harry Potter and the Order of the Phoenix,937034773
2003,Finding Nemo,936094852
2004,Shrek 2,935454538
2024,Despicable Me 4,929508000
2009,Harry Potter and the Half-Blood Prince,926069091
2002,The Lord of the Rings: The Two Towers,921715176
2021,Chang jin hu,909596236
2007,Spider-Man 3,895937268
2001,The Lord of the Rings: The Fellowship of the Ring,894316394
2009,Ice Age: Dawn of the Dinosaurs,886686817
2016,The Secret Life of Pets,886013000
2005,Harry Potter and the Goblet of Fire,885222986
2012,Ice Age: Continental Drift,879765137
2018,Bohemian Rhapsody,879088897
2015,Spectre,879077344
2017,Spider-Man: Homecoming,878651127
2002,Harry Potter and the Chamber of Secrets,874954228
2016,Batman v Superman: Dawn of Justice,872395091
2017,Wolf Warrior 2 (战狼2),870325439
2017,Guardians of the Galaxy Vol 2,869087963
2013,The Hunger Games: Catching Fire,864808014
2018,Venom,856081053
2022,Black Panther: Wakanda Forever,853985546
2017,Thor: Ragnarok,850482778
2015,Inside Out,850309035
2005,Star Wars Ep. III: Revenge of the Sith,848998877
2023,Guardians of the Galaxy Vol 3,845468744
2021,"Hi, Mom (你好, 李焕英)",839098445
2009,Transformers: Revenge of the Fallen,836519699
2012,"The Twilight Saga: Breaking Dawn, Part 2",829724737
2010,Inception,825786894
2002,Spider-Man,822652858
2017,Wonder Woman,817691766
1996,Independence Day,817400878
2016,Fantastic Beasts and Where to Find Them,811724385
2007,Shrek the Third,807330936
1982,E.T. the Extra-Terrestrial,797307407
2017,Coco,796401721
2004,Spider-Man 2,795888127
2019,Jumanji: The Next Level,795356912
2017,Pirates of the Caribbean: Dead Men Tell No Tales,794861794
2013,Fast and Furious 6,789300444
2008,Indiana Jones and the Kingdom of the Crystal Skull,786635413
2018,Mission: Impossible—Fallout,786626183
2018,Deadpool 2,786362370
2004,Harry Potter and the Prisoner of Azkaban,783221274
2016,Deadpool,781947691
1977,Star Wars Ep. IV: A New Hope,775398007
2014,Guardians of the Galaxy,770882395
2006,The Da Vinci Code,767820459
2014,The Hunger Games: Mockingjay - Part 1,766575131
2022,The Batman,765950479
2022,Thor: Love and Thunder,760928081
2019,Fast & Furious Presents: Hobbs & Shaw,760732926
2021,No Time to Die,758929771
2012,The Amazing Spider-Man,758576824
2014,Maleficent,758536735
2009,2012,757677748
2010,Shrek Forever After,756244673
2014,X-Men: Days of Future Past,747862775
2012,Madagascar 3: Europe's Most Wanted,746921271
2016,Suicide Squad,745744980
2013,Monsters University,743455810
2019,Ne Zha (哪吒之魔童降世),742718496
2003,The Matrix Reloaded,738576929
2009,Up,731463377
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",720539572
2021,F9: The Fast Saga,719360068
2023,Fast X,714567285
2014,Captain America: The Winter Soldier,714401889
2014,Dawn of the Planet of the Apes,710644566
2024,Dune: Part Two,709872180
2014,The Amazing Spider-Man 2,709672746
2007,Transformers,708272592
2010,The Twilight Saga: Eclipse,706102828
2017,It,701012746
2011,Mission: Impossible—Ghost Protocol,694713230
2015,Mission: Impossible—Rogue Nation,688858992
2009,The Twilight Saga: New Moon,687557727
2016,Moana,687228908
2013,Gravity,684657731
2011,"The Twilight Saga: Breaking Dawn, Part 1",684436752
2023,Spider-Man: Across the Spider-Verse,681222435
1994,Forrest Gump,679835137
2012,The Hunger Games,677923379
2016,Doctor Strange,676343174
1999,The Sixth Sense,672806292
2013,Man of Steel,667999518
2011,Kung Fu Panda 2,664837547
2002,Star Wars Ep. II: Attack of the Clones,656695615
2017,Justice League,655945209
2003,Pirates of the Caribbean: The Curse of the Black Pearl,654310819
2012,Men in Black 3,654213485
2015,The Martian,653609107
2019,The Wandering Earth (流浪地球),652251170
2006,Ice Age: The Meltdown,651899282
2018,Fantastic Beasts: The Crimes of Grindelwald,648455339
2014,Big Hero 6,647263005
2014,Interstellar,647040051
2015,The Hunger Games: Mockingjay - Part 2,646219954
2013,Thor: The Dark World,644602516
2023,Full River Red (满江红),634631282
2008,Kung Fu Panda,631910531
2004,The Incredibles,631441092
2016,Sing,631064182
2011,Fast Five,629975898
2023,Wonka,628971104
2007,Ratatouille,626549695
2021,Tang Ren Jie Tan An 3,625136211
2008,Hancock,624234272
2018,Ant-Man and the Wasp,623144660
2004,The Passion of the Christ,622313635
2010,Iron Man 2,621156389
2012,Life of Pi,619310368
1997,The Lost World: Jurassic Park,618638999
2014,How to Train Your Dragon 2,614586270
2017,Logan,614202315
2005,War of the Worlds,606836535
2022,Chang Jin Hu Zhi Shui Men Qiao,602986104
2017,Transformers: The Last Knight,602893340
2008,Madagascar: Escape 2 Africa,599680774
2006,Casino Royale,594420216
2008,Quantum of Solace,591692078
1997,Men in Black,587790539
2011,The Hangover Part II,586764305
2007,I am Legend,585532684
2008,Iron Man,585171547
2008,Mamma Mia!,584481736
2010,Tangled,582440151
2006,Night at the Museum,579446407
2018,Ready Player One,579055653
2013,The Croods,573068425
2015,Fifty Shades of Grey,570794950
2023,The Little Mermaid,569626289
2024,Godzilla x Kong: The New Empire,568721707
2023,Mission: Impossible Dead Reckoning Part One,566644143
2011,The Smurfs,563749323
2023,The Wandering Earth 2 (流浪地球2),562688972
2017,Kong: Skull Island,561072059
2001,"Monsters, Inc.",560483719
2011,Cars 2,560155383
2005,Madagascar,556559566
2012,Ted,556016627
2004,The Day After Tomorrow,555840117
2011,Puss in Boots,554987477
2012,Brave,554606532
1998,Armageddon,554600000
2005,King Kong,550517357
2000,Mission: Impossible 2,549588516
1980,Star Wars Ep. V: The Empire Strikes Back,549001086
2024,Kung Fu Panda 4,548184302
2014,American Sniper,547326372
2010,Despicable Me,544707293
2018,Tang Ren Jie Tan An 2,544068574
2018,Hong Hai Xing Dong,543391535
2016,X-Men: Apocalypse,542537546
2015,Cinderella,542351353
2023,No More Bets (孤注一掷),541598682
2011,Sherlock Holmes: A Game of Shadows,535663443
2015,The Revenant,532938302
2008,WALL-E,532508025
2013,World War Z,531861650
2018,Ralph Breaks The Internet,529290830
2014,Godzilla,529076069
2018,Hotel Transylvania 3: Summer Vacation,528500000
2017,The Boss Baby,527909949
2018,The Meg,527267828
2007,The Simpsons Movie,527071022
2016,Mei Ren Yu,525018479
2019,How to Train Your Dragon: The Hidden World,520691182
2016,Kung Fu Panda 3,520189225
2015,Ant-Man,518858449
1990,Ghost,517599988
2004,Meet the Fockers,516567575
1991,Terminator 2: Judgment Day,515361524
2018,Dr. Seuss’ The Grinch,514873747
1999,Toy Story 2,511358276
2017,Dunkirk,509736928
2020,Demon Slayer: Kimetsu no Yaiba—The Movie: Mugen Train,507119058
1992,Aladdin,504050219
2021,Venom: Let There be Carnage,501546922
2009,Sherlock Holmes,498438212
2012,Wreck-It Ralph,496511521
1996,Twister,495700000
2010,How to Train Your Dragon,494870992
2010,Clash of the Titans,493214888
2014,Rio 2,492846291
2001,Shrek,492186434
2009,Angels & Demons,490875846
2013,Oz the Great and Powerful,490359051
2017,War for the Planet of the Apes,489592267
2019,Maleficent: Mistress of Evil,489181357
2023,Xiāo Shī De Tā (消失的她),488379038
2011,Rio,487517241
2005,Mr. and Mrs. Smith,486124090
2022,Puss in Boots: The Last Wish,485254377
1998,Saving Private Ryan,485035085
2014,Teenage Mutant Ninja Turtles,485004754
2023,Elemental,484829737
2012,Les Intouchables,484630908
2003,Bruce Almighty,484468608
1975,Jaws,483655893
2004,Troy,483152040
1983,Star Wars Ep. VI: Return of the Jedi,482365284
